core_intent,anger,sadness,frustration,satisfaction,joy,security_threat,financial_loss,urgent_action
I want to increase my credit limit so I can make a large purchase next week. Please let me know the process.,0.1,0,0.2,0.8,0.3,0,0,0.2
I love the new mobile app update! It is so easy to navigate and I can see all my transactions clearly now.,0,0,0,1,0.9,0,0,0
The loan officer was extremely helpful and professional. She guided me through the entire mortgage process smoothly.,0,0,0,1,0.7,0,0,0
I am so impressed with how quickly you blocked my card after the fraud alert. Great job protecting my account!,0,0,0,1,0.6,0,0,0.1
Everything is working perfectly. I just wanted to say thank you to the support team for their kind assistance today.,0,0,0,1,0.8,0,0,0
"My electricity bill payment of ₹4,200 via UPI failed yesterday even though the amount was debited from my account. I received a disconnection notice from BESCOM this morning. If my power is cut, I will hold the bank responsible for the inconvenience. Please resolve this immediately and provide a confirmation.",0.8,0.3,0.9,0.1,0,0.1,0.4,1
I am writing to express my deep disappointment regarding my recent visit to the Koramangala branch for a simple KYC update. I am a senior citizen and was made to wait for 3 hours only to be told the server was down. This is not the level of service I expected after 15 years of banking with you.,0.7,0.4,1,0,0,0,0,0.5
I have been getting calls from your recovery agents for a loan EMI that I already paid through the mobile app five days ago. They are using extremely rude language and even called my brother. This is a clear violation of RBI guidelines and is causing me immense mental agony. Stop this harassment at once.,1,0.7,0.9,0.1,0,0.2,0.1,0.9
"I noticed a discrepancy in my home loan interest rate. While the RBI has reduced the repo rate recently, my EMI remains the same. It seems the bank is quick to increase rates but never passes on the benefits to existing customers. I request a transparent breakdown of my current floating interest rate.",0.5,0.1,0.8,0.2,0,0,0.6,0.4
"I am trying to remove the hypothecation from my car's RC at the RTO, but they rejected my application because the NOC provided by your bank has a spelling mistake in my name. I have been requesting a corrected document for two weeks. I cannot sell my car because of your clerical error.",0.8,0.3,1,0,0,0,0.7,0.8
"I am currently in the US and tried to transfer funds to my NRO account via wire transfer. The money has left my local US bank but hasn't reflected in my Indian account for 10 days. No one is responding to my emails and I am worried about where my ₹2,00,000 is. Please track this transaction.",0.6,0.7,0.9,0.1,0,0.4,1,0.9
I am confused by my latest credit card statement. There is a 'Reward Redemption Fee' of ₹99 plus GST which I was never informed about. I have been a loyal user of this card and feel these hidden charges are a way to cheat customers. I want this fee reversed immediately.,0.6,0.1,0.8,0.2,0,0,0.1,0.5
I want to thank the home loan team at the Ahmedabad branch. They made the entire documentation process so easy for a first-time buyer like me. Special thanks to Mr. Sharma for explaining the PMAY subsidy benefits clearly. I am very happy with the overall experience and will recommend your bank to my friends.,0,0,0,1,1,0,0,0
"I am writing to report a suspicious phone call I received today from someone claiming to be from your 'Card Verifiction' department. They asked for my CVV and expiry date. I ended the call immediately, but I am worried my data might have been leaked. Please confirm if my account is still secure.",0.3,0.4,0.6,0.4,0,1,0.2,0.8
"My daughter's education loan interest certificate for the last financial year is incorrect. It does not reflect the full interest paid, and because of this, I am unable to claim the full Section 80E deduction in my Income Tax filing. The deadline for filing is approaching; please issue a corrected certificate.",0.5,0.3,0.8,0.2,0,0,0.5,0.9
I am so impressed with the new 'Pause Card' feature on your mobile app! I misplaced my wallet yesterday and was able to instantly freeze my card. I found it later under my car seat and unblocked it myself. This gave me such peace of mind. Truly a lifesaver feature!,0,0,0,1,0.9,0,0,0
"I have requested a credit limit increase three times in the last six months. My salary has doubled and my CIBIL score is 800+, yet you keep rejecting my request without providing a valid reason. If this continues, I will be forced to move my salary account to another bank that values its customers.",0.8,0.2,0.9,0.1,0,0,0,0.6
"Hi, I'm currently traveling in Europe and my HDFC debit card was declined at a cafe in Paris today, December 24th. I checked my mobile app and I have over ₹3,50,000 in my savings account. I didn't receive any OTP or fraud alert SMS. Please unblock my card immediately as I am stranded without cash.",0.662,0.369,0.866,0.134,0,0.169,0.504,0.794
"Dear Customer Service, I am writing to formally complain about a ₹590 'Non-Maintenance Charges' (AMB) fee applied to my account. According to my records, I had a pending NEFT credit of ₹50,000 from my employer which should have cleared before the month-end check. I have been a loyal customer at the Bandra branch for 8 years and I request a waiver of this fee.",0.671,0.359,0.867,0.133,0,0.161,0.488,0.803
I recently noticed five 'Hard Inquiries' on my credit profile from your institution within a single week. I only authorized one application. These excessive hits are dropping my score. I request you to retract the unauthorized inquiries and update the credit agencies accordingly. This incorrect reporting is negatively affecting my credit score. I request you to investigate and rectify this with the bureau at the earliest.,0.335,0.269,0.537,0.463,0.261,0.34,0.068,0.471
There is an unknown account on my Equifax report that does not belong to me. This reporting error is dropping my credit score. Please remove this entry from my file.,0.538,0.235,0.733,0.267,0,0.436,0.367,0.701
"There is a charge for ₹9,999 from 'Flipkart' on my credit card statement from yesterday that I did not authorize. I did not receive any OTP for this transaction, and the card is safely in my wallet. This looks like a fraudulent transaction; please block the card and initiate a dispute.",0.666,0.358,0.865,0.135,0,0.161,0.487,0.794
"I am disputing a transaction of ₹45,000 made at 'Reliance Digital' on November 12, 2025. I was at my office in Bengaluru during the time this purchase was made in Delhi. My physical card is with me, so I believe my details were skimmed. I have already blocked the card via the app, but the charge is still reflecting in my 'Outstanding' balance. Please reverse this.",0.666,0.358,0.865,0.135,0,0.161,0.487,0.793
"I have recently faced a medical emergency in my family and can no longer afford the ₹15,000 monthly EMI on my personal loan. Can we discuss a moratorium for two months or a restructuring of the loan tenure to reduce the EMI amount?",0.669,0.361,0.867,0.133,0,0.163,0.492,0.8
"I am writing regarding my education loan. I submitted my degree completion certificate and employment details to the branch for the subsidy claim under the CSIS scheme back in August, but my interest subsidy hasn't been credited yet. Every time I visit the branch, I am told the portal is down. Please review my file and confirm when the subsidy will be adjusted.",0.601,0.2,0.834,0.166,0,0,0.365,0.633
"The loan department at ICICI Bank failed to renew my property insurance premium this year despite having an active ECS mandate. Now I've received a notice from the insurance company that my policy has lapsed, leaving my mortgaged property at risk. Please resolve this immediately.",0.703,0.2,0.9,0.1,0,0,0.422,0.6
"Dear Home Loan Department, I am inquiring about the status of my Top-up loan application (Ref #IND882109). We submitted all documents three weeks ago, but I haven't heard from the legal verifier yet. My house renovation is stalled. Please provide an update on what documents are still outstanding from my side.",0.529,0.301,0.73,0.27,0,0.641,0.396,0.8
"I used UPI to send ₹12,000 to my landlord, but the transaction status is 'Pending' even though the money has been debited from my SBI account. My landlord has not received the funds. Please provide the UTR number and clarify if the money will be refunded or settled.",0.671,0.368,0.868,0.132,0,0.167,0.503,0.809
"I just sold my Maruti Swift and the buyer is waiting for the transfer, but the RTO says you haven't issued the Form 35 (NOC) yet, even though I closed the car loan in full last Tuesday. Please courier the NOC to my registered address.",0.626,0.366,0.83,0.17,0,0.655,0.587,0.861
"I would like to take a moment to sincerely appreciate the support and service provided by your credit card department.
The assistance I received was prompt, clear, and professional. The team handled my query efficiently and ensured that all details were explained in a transparent and customer-friendly manner. This level of responsiveness and attention reflects a strong commitment to customer satisfaction.
Positive experiences like this build trust and confidence in your services, and I truly value the effort your team puts into maintaining high service standards.
Thank you for your continued dedication and support. Please keep up the excellent work.",0,0,0,1,0.898,0,0,0.035
"I am writing to express my extreme dissatisfaction with the service I received at your [Branch Name] branch on [Date] at approximately [Time]. I was served by [Staff Name, if known] who was [rude/unhelpful/condescending] when I tried to [describe task, e.g., withdraw funds].",0.768,0.297,0.965,0.035,0,0,0.231,0.634
"I am writing to dispute a [type of fee, e.g., overdraft fee] of [Amount] charged to my account [Account Number] on [Date]. I believe this fee was charged in error because [reason: e.g., I had sufficient funds/was told this account had no monthly fee]. 
Please review my account activity and reverse this charge within the next 5 business days.",0.671,0.201,0.868,0.132,0,0.066,0.457,0.635
"I am planning to pay off the remaining balance on my personal loan (Account #99812) within the next two weeks. I would like to request an official payoff statement that includes the exact total with interest calculated through March 20th.

Please let me know if you can email that document to me or if I need to download it directly from my online account dashboard.",0.297,0.237,0.532,0.468,0.099,0.356,0.229,0.635
"I am writing to see if it is possible to move my monthly car loan payment date from the 5th of the month to the 15th. My payroll schedule at work has shifted, and moving the date would make it much easier for me to manage my cash flow.
If this change is possible, please let me know if there are any forms I need to sign or if there is a one-time fee associated with adjusting the contract terms.",0.355,0.367,0.59,0.41,0.104,0,0.169,0.461
I recently received a notice from my local county assessor regarding a change in my annual property taxes. I wanted to proactively share this information with you to ensure my escrow payments are adjusted accordingly for the upcoming year.,0.272,0.395,0.571,0.429,0.098,0,0.336,0.574
"I have been a loyal cardholder with your ""Premier Rewards"" card for over two years now. My income has recently increased, and I’m interested in requesting a credit limit increase to help improve my utilization ratio.",0.477,0.103,0.577,0.423,0.098,0,0.031,0.375
"I noticed a Rs. 15 maintenance fee on my Statement Savings account ending in -4402 this month. I thought this was waived if I maintained a balance over Rs. 500, which I believe I have.",0.666,0.435,0.867,0.133,0,0.301,0.735,0.834
"I just wanted to send a quick note to say how much I appreciate the recent update to the mobile app’s international remittance section. I send money to my family abroad monthly, and the new ""One-Tap Repeat"" feature saved me so much time this morning.

The exchange rate transparency is also much better than it used to be. It’s rare that I’m actually excited to use a banking app, but this was a great improvement. Keep up the good work!",0,0,0,1,0.808,0,0,0.031
"I was reviewing my recent credit monitoring report provided through your service, and I noticed a hard inquiry from ""Lakeside Auto"" listed on February 14th.

While I did visit that dealership, I ended up not applying for financing there until the 16th. I’m not looking to dispute it as fraudulent, but I am curious why the date is showing up two days earlier than my application. Does your system pull the date of the initial ""soft"" look, or should it strictly be the application date? Just trying to understand how this impacts my score.",0.593,0.335,0.797,0.203,0,0.445,0.43,0.769
"I just received a notification for a $1,200 purchase at a luxury retailer that I did not authorize. Please freeze my card ending in -9012 immediately to prevent further fraud. I am waiting for a call back to start the dispute process.",0.596,0.366,0.798,0.202,0,0.73,0.628,0.898
"I sent a wire transfer to my contractor three days ago and the status is still showing as pending. Usually, these go through within 24 hours. Can you investigate why there is a delay so I can give my contractor an update?",0.203,0.433,0.503,0.497,0.097,0.35,0.233,0.54
Does your premium credit monitoring service include alerts for all three major credit bureaus? I am currently only seeing updates for TransUnion on my dashboard. I just want to make sure I'm getting the full coverage I paid for.,0.259,0.128,0.391,0.609,0.301,0,0,0.263
"I tried activating my new debit card through the automated phone system, but it keeps saying my zip code is invalid. I’ve lived at the same address for five years. Can you manually activate this for me so I can use it for groceries today?",0.591,0.541,0.863,0.137,0,0.387,0.595,0.828
"I am considering refinancing my home later this year and would like a generic payoff quote for my current mortgage. There is no rush on this. Whenever you have a moment, please send the document to my registered email.",0.38,0.259,0.549,0.451,0.106,0.646,0.34,0.648
I will be traveling to Japan from the 12th to the 25th of next month. I wanted to make sure my cards aren't blocked for international transactions while I'm away. Please add this travel note to my account profile.,0.199,0.46,0.53,0.47,0.034,0.301,0.397,0.631
I recently checked my credit report and noticed an inquiry from your company that I do not recognize. I have not applied for any credit products in the past few months. Could you please verify if this inquiry was made in error and let me know how to get it corrected?,0.331,0.24,0.503,0.497,0.257,0.425,0.327,0.607
My credit score dropped significantly this month even though I have been paying my bills on time. I saw a late payment listed for one of my accounts which I believe is incorrect. Can someone review this and help me understand what happened?,0.502,0.332,0.7,0.3,0,0.699,0.464,0.832
"Dear Support Team,
There is an account listed on my credit report that does not belong to me. I suspect it may be a reporting error or possibly identity-related. I would like to formally dispute this entry and request an investigation. Please guide me on the steps I should follow.",0.529,0.335,0.699,0.301,0,0.968,0.462,0.866
"Due to some recent financial changes, I am finding it difficult to maintain the current EMI schedule for my loan. I would like to explore if there are options to adjust the repayment plan temporarily. Please let me know what alternatives are available.",0.6,0.133,0.767,0.233,0,0,0.233,0.434
I received a notification saying my loan account is marked overdue and may go into collections soon. I believe this may have happened due to a missed payment last week. I want to resolve this immediately and avoid any penalties or negative impact on my record. Please advise what I should do right away.,0.535,0.265,0.7,0.3,0,0.632,0.167,0.733
I need a copy of my latest mortgage statement for documentation purposes. I was unable to locate it in the online portal. Could you please send me the latest statement or guide me on where to download it?,0.201,0.434,0.501,0.499,0.099,0.34,0.233,0.536
I noticed that my monthly mortgage payment increased this month. It appears the change might be related to the escrow portion of the payment. Could you please explain why the amount has changed and whether this will continue for the rest of the year?,0.494,0.197,0.628,0.372,0.103,0.163,0.399,0.597
"I am considering making an additional payment toward my mortgage principal this year. Before doing so, I wanted to confirm whether there are any prepayment penalties or restrictions. Could you provide details on how extra payments are applied to the loan?",0.26,0.352,0.488,0.512,0.108,0.287,0.256,0.52
"I made a payment toward my credit card yesterday through online banking. However, I have not yet received a confirmation in my account dashboard. Could you please confirm whether the payment has been received?",0.326,0.269,0.528,0.472,0.262,0.361,0.072,0.477
I was charged twice for the same payment transaction earlier today. The amount has been deducted twice from my bank account. This is quite concerning and I would appreciate immediate assistance in resolving the issue.,0.665,0.234,0.798,0.202,0,0.372,0.467,0.702
I initiated an international transfer two days ago but the recipient has not yet received the funds. The transaction status still shows as processing. Could you please check the status and let me know if there are any issues?,0.514,0.462,0.784,0.216,0,0.572,0.629,0.861
I would like to obtain a copy of my vehicle loan statement for the past six months. I need this for my personal financial records. Please let me know how I can access or download these statements.,0.203,0.435,0.504,0.496,0.096,0.353,0.234,0.542
"I am planning to close my vehicle loan earlier than the scheduled tenure. Before proceeding, I wanted to understand if there are any foreclosure charges. Kindly provide details about the process and any applicable fees.",0.4,0.401,0.633,0.367,0,0.303,0.301,0.568
My car loan EMI was supposed to be automatically debited today but the payment did not go through. I am worried this might be recorded as a missed payment. Could you please check what went wrong and help resolve it as soon as possible?,0.4,0.533,0.734,0.266,0,0.4,0.5,0.767
I recently paid off one of my credit card balances and was wondering how long it usually takes for this to reflect on my credit report. I checked my report today but the balance still appears as unpaid. Could you please let me know the usual update timeline?,0.535,0.234,0.736,0.264,0,0.425,0.368,0.698
"I have been monitoring my credit score and noticed some small fluctuations over the past few months. I would like to better understand what factors are affecting these changes. If possible, could you explain the main reasons why my score might go up or down?",0.263,0.355,0.492,0.508,0.105,0.295,0.259,0.526
I am reviewing my loan details and wanted to confirm the current interest rate applied to my account. I just want to make sure it matches the rate mentioned in my loan agreement. Could you please provide this information?,0.332,0.132,0.531,0.469,0.101,0.331,0.232,0.531
I am trying to access my mortgage account through the online portal but I seem to be having trouble logging in. It might be related to my password or account settings. Could you guide me on how to regain access?,0.633,0.3,0.833,0.167,0,0.465,0.566,0.766
I wanted to confirm the exact due date for my monthly mortgage payments. I usually schedule my payments in advance and want to make sure they are processed on time. Please let me know the correct schedule for my account.,0.534,0.233,0.766,0.234,0,0.066,0.433,0.566
I would like to review my payment transactions for the last three months. I was not able to find the full history in my dashboard. Could you please let me know how I can download or receive this information?,0.197,0.418,0.49,0.51,0.106,0.325,0.225,0.523
I am reviewing my vehicle loan and wanted to confirm the total remaining tenure on the loan. I just want to keep track of how many installments are left. Could you please share the remaining schedule?,0.366,0.433,0.701,0.299,0,0.329,0.4,0.666
"Subject: Update contact information for vehicle loan account

Hi,
I recently changed my phone number and would like to update it in my vehicle loan account details. I want to make sure I continue receiving all notifications and updates. Please let me know the steps required to update my contact information.",0.207,0.434,0.509,0.491,0.092,0.381,0.233,0.554
Clarification on payment processing time needed that I recently made a payment through the mobile app and noticed that it is still marked as pending. I understand that processing can sometimes take a little time. Could you please confirm how long it normally takes for payments to be completed?,0.362,0.247,0.57,0.43,0.092,0.449,0.323,0.648
"I recently reviewed my credit report and noticed an account that I do not immediately recognize. The account appears to have been opened a few years ago, but I cannot recall applying for this particular service. It may simply be something I forgot about, but I would like to confirm before taking any action. Could your team please check whether this account is correctly linked to my profile? If necessary, I can provide identification documents to verify my identity. I would appreciate any guidance on how to proceed.",0.632,0.299,0.765,0.235,0,0.437,0.497,0.767
"Over the past few months I have been trying to improve my credit score by paying off some outstanding balances. I recently cleared two credit card accounts and made sure all my other payments were made on time. However, I have not yet seen much improvement in my credit score. I understand that updates may take some time to reflect. Could you please explain how long it usually takes for these positive changes to appear in a credit report? I would like to make sure I am following the right steps.",0.259,0.36,0.491,0.509,0.107,0.284,0.259,0.521
"I have been reviewing my personal loan account and wanted to confirm the remaining payment schedule. I have been making regular payments and would like to keep track of how many installments are left. It would be helpful if I could receive an updated statement showing the outstanding balance and upcoming EMI dates. I am mainly organizing my financial records for the year. If there is a document available through the portal, please let me know where I can access it. Thank you for your assistance.",0.492,0.229,0.625,0.375,0.104,0.13,0.392,0.559
"I am considering making an additional payment toward my loan principal sometime this month. My intention is simply to reduce the overall interest that I will pay over the remaining tenure. Before doing this, I wanted to confirm whether extra payments can be made without affecting the existing EMI schedule. I would also like to know if there are any charges associated with partial prepayments. If possible, please share the procedure for making such a payment. I appreciate your help in clarifying",0.697,0.197,0.897,0.103,0,0,0.427,0.594
"While reviewing my latest mortgage statement, I noticed that the payment amount is divided into several components such as principal, interest, and escrow. I understand the basic idea, but I would like to get a clearer explanation of how these amounts are calculated. In particular, I am curious about how the escrow portion is determined each year. I am trying to better understand my long-term financial commitments. Could you please provide some clarification on how these values are adjusted over time? Any documentation would also be helpful.",0.475,0.102,0.651,0.349,0.09,0,0.227,0.404
"A few days ago I made a payment toward my account using the online portal. The transaction appears in my bank statement, but the status in your system still shows as pending. I assume this may simply be part of the normal processing time. However, I wanted to confirm that the payment has been received correctly. If there is any additional action required from my side, please let me know. I would appreciate confirmation once the payment has been fully processed.",0.395,0.271,0.567,0.433,0.097,0.678,0.359,0.671
"I am currently reviewing my vehicle loan account and wanted to confirm the remaining balance. I have been making regular monthly payments and believe that a significant portion of the loan has already been repaid. However, I would like to see the exact breakdown of the remaining principal and interest. This is mainly for my own financial planning. Could you please provide an updated statement or direct me to where I can access this information online? I appreciate your help.",0.203,0.428,0.501,0.499,0.098,0.354,0.23,0.54
